Queuing Time	Time/Label
0	288628.06929
0.53637	288628.06929
0	288726.43529
1.50341	288726.43529
0	288831.57006
5.62146	288831.57006
0	288927.58936
6.65362	288927.58936
0	289041.91465
13.30862	289041.91465
0	289133.73642
12.37968	289133.73642
0	289228.75918
3.68791	289228.75918
0	289336.06993
7.65972	289336.06993
0	289436.93432
11.28399	289436.93432
0	289532.57528
5.86661	289532.57528
0	289633.95106
13.60963	289633.95106
0	289731.79235
4.15726	289731.79235
0	289840.08434
12.80367	289840.08434
0	289926.5654
0.21928	289926.5654
0	290034.9672
7.29291	290034.9672
0	290131.63201
5.55096	290131.63201
0	290228.27045
6.26064	290228.27045
0	290327.63887
3.72709	290327.63887
0	290438.61359
10.05849	290438.61359
0	290531.95757
9.58548	290531.95757
0	290641.08926
15.85912	290641.08926
0	290737.77439
17.82997	290737.77439
0	290834.1042
6.64681	290834.1042
0	290924.28361
2.99857	290924.28361
0	291043.80004
15.09951	291043.80004
0	291131.69551
8.48117	291131.69551
0	291231.24375
6.50657	291231.24375
0	291335.76016
8.09874	291335.76016
0	291431.84621
5.44657	291431.84621
0	291532.80571
7.65387	291532.80571
0	291638.87349
18.14335	291638.87349
0	291724.80466
3.3137	291724.80466
0	291837.33887
12.04822	291837.33887
0	291929.85562
6.20903	291929.85562
0	292030.26832
4.92758	292030.26832
0	292139.60754
19.34044	292139.60754
0	292236.39083
14.34015	292236.39083
0	292336.06906
11.74555	292336.06906
0	292431.54704
9.46584	292431.54704
0	292535.20914
11.71523	292535.20914
0	292636.25152
10.47964	292636.25152
0	292720.70597
0.00184	292720.70597
0	292824.42192
3.1323	292824.42192
0	292935.45229
8.26222	292935.45229
0	293032.15012
2.75811	293032.15012
0	293135.33904
8.27531	293135.33904
0	293238.48205
14.553	293238.48205
0	293328.66969
4.63232	293328.66969
0	293430.89077
5.06673	293430.89077
0	293526.85163
4.83636	293526.85163
0	293635.66194
9.67911	293635.66194
0	293739.28002
11.37518	293739.28002
0	293825.30652
1.10612	293825.30652
0	293931.08405
10.29266	293931.08405
0	294029.69384
4.53801	294029.69384
0	294129.89159
6.63883	294129.89159
0	294226.44469
5.93781	294226.44469
0	294331.10841
3.93328	294331.10841
0	294431.02799
5.67841	294431.02799
0	294533.53725
9.25403	294533.53725
0	294628.5471
3.46463	294628.5471
0	294727.34739
6.00521	294727.34739
0	294834.81215
9.0247	294834.81215
0	294923.14167
2.5574	294923.14167
0	295032.41595
11.89433	295032.41595
0	295131.90737
16.55943	295131.90737
0	295225.95957
2.73404	295225.95957
0	295327.72202
3.12353	295327.72202
0	295434.84668
13.34659	295434.84668
0	295547.00443
17.70729	295547.00443
0	295626.01618
4.53216	295626.01618
0	295728.53384
1.57716	295728.53384
0	295838.25447
8.82836	295838.25447
0	295926.13041
4.2764	295926.13041
0	296027.78657
4.77125	296027.78657
0	296138.61898
17.7421	296138.61898
0	296226.43994
1.30857	296226.43994
0	296333.40807
14.41161	296333.40807
0	296427.18569
1.4454	296427.18569
0	296532.11847
2.68028	296532.11847
0	296626.56028
5.46255	296626.56028
0	296731.72905
7.9531	296731.72905
0	296833.9765
11.92334	296833.9765
0	296934.13096
5.79416	296934.13096
0	297030.67754
8.3652	297030.67754
0	297126.68224
5.97665	297126.68224
0	297234.89338
12.43742	297234.89338
0	297337.27359
17.44727	297337.27359
0	297431.5463
12.81452	297431.5463
0	297528.12343
7.48106	297528.12343
0	297633.37714
11.01618	297633.37714
0	297728.4009
0.69916	297728.4009
0	297834.08101
10.57636	297834.08101
0	297932.94012
11.06095	297932.94012
0	298026.00152
1.21093	298026.00152
0	298131.48043
13.12598	298131.48043
0	298228.90689
