Time in simulation	Time/Label
30.71199	106530.71199
34.9967	106634.9967
28.96783	106728.96783
32.44602	106832.44602
32.73852	106932.73852
27.75572	107027.75572
25.02526	107125.02526
37.46208	107237.46208
35.16503	107335.16503
39.21905	107439.21905
22.59475	107522.59475
32.09908	107632.09908
32.81506	107732.81506
32.22652	107832.22652
37.15242	107937.15242
22.93795	108022.93795
29.77925	108129.77925
33.04689	108233.04689
38.88956	108338.88956
33.83255	108433.83255
38.29423	108538.29423
41.62659	108641.62659
27.90191	108727.90191
29.86356	108829.86356
32.53449	108932.53449
33.39575	109033.39575
31.09255	109131.09255
43.1764	109243.1764
30.15637	109330.15637
32.98202	109432.98202
29.59343	109529.59343
26.66808	109626.66808
34.61657	109734.61657
33.56712	109833.56712
32.55273	109932.55273
26.27169	110026.27169
27.6305	110127.6305
40.42692	110240.42692
35.78039	110335.78039
34.28757	110434.28757
31.01201	110531.01201
34.58858	110634.58858
30.50519	110730.50519
40.86498	110840.86498
28.57324	110928.57324
32.82965	111032.82965
38.93269	111138.93269
38.05915	111238.05915
32.32461	111332.32461
35.45999	111435.45999
36.49058	111536.49058
35.95916	111635.95916
34.11937	111734.11937
31.83648	111831.83648
33.22858	111933.22858
24.47361	112024.47361
29.45848	112129.45848
41.43261	112241.43261
36.28881	112336.28881
40.58913	112440.58913
34.23894	112534.23894
37.49469	112637.49469
34.89132	112734.89132
34.81662	112834.81662
36.62794	112936.62794
32.4206	113032.4206
38.25163	113138.25163
26.93271	113226.93271
35.51191	113335.51191
24.5484	113424.5484
28.06598	113528.06598
29.32395	113629.32395
45.77162	113745.77162
29.17753	113829.17753
26.62392	113926.62392
30.83717	114030.83717
34.403	114134.403
40.25698	114240.25698
33.40869	114333.40869
34.19273	114434.19273
37.93134	114537.93134
35.9171	114635.9171
39.02057	114739.02057
22.96132	114822.96132
28.59215	114928.59215
28.3486	115028.3486
32.44193	115132.44193
30.11951	115230.11951
34.94859	115334.94859
36.22617	115436.22617
27.87001	115527.87001
34.3021	115634.3021
26.26528	115726.26528
30.25167	115830.25167
32.44845	115932.44845
26.64959	116026.64959
33.13692	116133.13692
31.34948	116231.34948
31.88431	116331.88431
34.64189	116434.64189
32.06241	116532.06241
29.50633	116629.50633
25.25611	116725.25611
33.78596	116833.78596
27.57933	116927.57933
33.61075	117033.61075
30.85917	117130.85917
24.78902	117224.78902
31.33138	117331.33138
37.16452	117437.16452
39.6274	117539.6274
30.18232	117630.18232
30.92881	117730.92881
29.49852	117829.49852
23.17612	117923.17612
32.98677	118032.98677
25.34328	118125.34328
37.57188	118237.57188
38.20386	118338.20386
31.66683	118431.66683
24.80274	118524.80274
36.49561	118636.49561
35.73303	118735.73303
34.99102	118834.99102
40.18346	118940.18346
42.08819	119042.08819
39.18942	119139.18942
30.34051	119230.34051
30.51093	119330.51093
35.00528	119435.00528
37.03906	119537.03906
33.84821	119633.84821
32.94363	119732.94363
37.49945	119837.49945
29.16209	119929.16209
33.40454	120033.40454
37.11703	120137.11703
31.28422	120231.28422
30.28494	120330.28494
28.9532	120428.9532
38.7443	120538.7443
28.18332	120628.18332
35.31688	120735.31688
33.00755	120833.00755
36.48213	120936.48213
29.39368	121029.39368
30.50097	121130.50097
33.77948	121233.77948
32.0974	121332.0974
32.33151	121432.33151
29.94208	121529.94208
40.44501	121640.44501
32.19268	121732.19268
21.11207	121821.11207
36.97	121936.97
28.70842	122028.70842
29.28746	122129.28746
36.67137	122236.67137
35.3672	122335.3672
31.32183	122431.32183
25.84427	122525.84427
36.30592	122636.30592
28.92171	122728.92171
36.16083	122836.16083
38.37612	122938.37612
30.21322	123030.21322
25.44268	123125.44268
29.79356	123229.79356
30.99536	123330.99536
36.35415	123436.35415
26.40804	123526.40804
32.4921	123632.4921
25.20683	123725.20683
38.57034	123838.57034
30.86784	123930.86784
34.80541	124034.80541
35.41819	124135.41819
37.54771	124237.54771
34.10201	124334.10201
29.59416	124429.59416
30.22183	124530.22183
28.0726	124628.0726
26.05712	124726.05712
27.21665	124827.21665
38.1051	124938.1051
26.29976	125026.29976
32.63845	125132.63845
30.41837	125230.41837
28.34361	125328.34361
33.83767	125433.83767
25.90295	125525.90295
30.31875	125630.31875
18.40678	125718.40678
36.54487	125836.54487
29.84143	125929.84143
25.89203	126025.89203
24.25047	126124.25047
37.22492	126237.22492
38.18005	126338.18005
35.31348	126435.31348
33.92485	126533.92485
36.33219	126636.33219
34.55722	126734.55722
23.39697	126823.39697
27.53966	126927.53966
29.68623	127029.68623
